customer_id,name,email,membership_age,revenue,Preferred_film_language,Preferred_film_category,city,preferred_film_year
1,MARY SMITH,MARY.SMITH@sakilacustomer.org,185,0.00,"English,Italian,Japanese,French","Action,Sports,Drama,Animation,Family",463,"00s,00s"
2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",449,New
3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",38,"00s,00s"
4,BARBARA JONES,BARBARA.JONES@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",349,"00s,00s"
5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",361,"00s,00s"
6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",295,"00s,00s"
7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",280,"00s,00s"
8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",200,"00s,00s"
9,MARGARET MOORE,MARGARET.MOORE@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",329,"00s,00s"
10,DOROTHY TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",162,00s
11,LISA ANDERSON,LISA.ANDERSON@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",440,"00s,00s"
12,NANCY THOMAS,NANCY.THOMAS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",582,"00s,00s"
14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",120,"00s,00s"
16,SANDRA MARTIN,SANDRA.MARTIN@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",495,"00s,00s"
17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",156,"00s,00s"
18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",252,"00s,00s"
19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",267,"00s,00s"
20,SHARON ROBINSON,SHARON.ROBINSON@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",327,"00s,00s"
21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",525,"00s,00s"
22,LAURA RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",443,"00s,00s"
23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",303,"00s,00s"
24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",128,"00s,00s"
25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",472,"00s,00s"
26,JESSICA HALL,JESSICA.HALL@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",121,"00s,00s"
27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",138,"00s,00s"
28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",346,"00s,00s"
29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",474,00s
31,BRENDA WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",257,00s
32,AMY LOPEZ,AMY.LOPEZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",239,"00s,00s"
33,ANNA HILL,ANNA.HILL@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",17,"00s,00s"
35,VIRGINIA GREEN,VIRGINIA.GREEN@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",544,"00s,00s"
36,KATHLEEN ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",31,"00s,00s"
37,PAMELA BAKER,PAMELA.BAKER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",362,"00s,00s"
38,MARTHA GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",115,00s
39,DEBRA NELSON,DEBRA.NELSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",569,00s
40,AMANDA CARTER,AMANDA.CARTER@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",353,00s
42,CAROLYN PEREZ,CAROLYN.PEREZ@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",394,"00s,00s"
43,CHRISTINE ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",167,"00s,00s"
44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",308,"00s,00s"
45,JANET PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,185,107.78,English,"Action,Sports,Drama,Animation,Family",27,90s
46,CATHERINE CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,185,142.65999999999997,English,"Sports,Animation,Documentary,Sci-Fi,Family",343,"00s,00s"
47,FRANCES PARKER,FRANCES.PARKER@sakilacustomer.org,185,108.77999999999999,English,"Action,Sports,Drama,Animation,Family",247,"00s,00s"
48,ANN EVANS,ANN.EVANS@sakilacustomer.org,185,76.83000000000001,English,"Action,Sports,Drama,Animation,Family",367,"00s,00s"
49,JOYCE EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,185,130.71999999999997,English,"Sports,Animation,Documentary,Sci-Fi,Family",237,"00s,00s"
50,DIANE COLLINS,DIANE.COLLINS@sakilacustomer.org,185,169.65,English,"Action,Sports,Drama,Animation,Family",379,"00s,00s"
51,ALICE STEWART,ALICE.STEWART@sakilacustomer.org,185,138.67,English,"Action,Sports,Drama,Animation,Family",171,"00s,00s"
52,JULIE SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,185,107.71,English,"Action,Sports,Drama,Animation,Family",1,"00s,00s"
53,HEATHER MORRIS,HEATHER.MORRIS@sakilacustomer.org,185,115.69999999999999,English,"Action,Sports,Drama,Animation,Family",355,"00s,00s"
54,TERESA ROGERS,TERESA.ROGERS@sakilacustomer.org,185,257.42000000000013,"English,Italian","Action,Sports,Drama,Animation,Family",227,"00s,00s"
55,DORIS REED,DORIS.REED@sakilacustomer.org,185,100.78,English,"Sports,Animation,Documentary,Sci-Fi,Family",49,"00s,00s"
56,GLORIA COOK,GLORIA.COOK@sakilacustomer.org,185,135.7,English,"Action,Sports,Drama,Animation,Family",397,"00s,00s"
57,EVELYN MORGAN,EVELYN.MORGAN@sakilacustomer.org,185,114.71999999999998,English,"Sports,Animation,Documentary,Sci-Fi,Family",560,"00s,00s"
58,JEAN BELL,JEAN.BELL@sakilacustomer.org,185,115.72999999999999,English,"Action,Sports,Drama,Animation,Family",282,"00s,00s"
59,CHERYL MURPHY,CHERYL.MURPHY@sakilacustomer.org,185,133.72999999999996,English,"Action,Sports,Drama,Animation,Family",350,"00s,00s"
60,MILDRED BAILEY,MILDRED.BAILEY@sakilacustomer.org,185,98.75,English,"Action,Sports,Drama,Animation,Family",231,"00s,00s"
61,KATHERINE RIVERA,KATHERINE.RIVERA@sakilacustomer.org,185,58.86000000000001,English,"Sports,Animation,Documentary,Sci-Fi,Family",56,00s
62,JOAN COOPER,JOAN.COOPER@sakilacustomer.org,185,84.77000000000001,English,"Action,Sports,Drama,Animation,Family",441,"00s,00s"
64,JUDITH COX,JUDITH.COX@sakilacustomer.org,185,100.66999999999999,English,"Sports,Animation,Documentary,Sci-Fi,Family",139,"00s,00s"
65,ROSE HOWARD,ROSE.HOWARD@sakilacustomer.org,185,103.77999999999999,English,"Sports,Animation,Documentary,Sci-Fi,Family",105,"00s,00s"
66,JANICE WARD,JANICE.WARD@sakilacustomer.org,185,89.8,English,"Sports,Animation,Documentary,Sci-Fi,Family",321,"00s,00s"
67,KELLY TORRES,KELLY.TORRES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",579,"00s,00s"
69,JUDY GRAY,JUDY.GRAY@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",63,"00s,00s"
70,CHRISTINA RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",13,00s
71,KATHY JAMES,KATHY.JAMES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",61,"00s,00s"
72,THERESA WATSON,THERESA.WATSON@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",517,"00s,00s"
73,BEVERLY BROOKS,BEVERLY.BROOKS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",114,"00s,00s"
74,DENISE KELLY,DENISE.KELLY@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",431,00s
75,TAMMY SANDERS,TAMMY.SANDERS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",108,"00s,00s"
76,IRENE PRICE,IRENE.PRICE@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",402,"00s,00s"
77,JANE BENNETT,JANE.BENNETT@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",30,"00s,00s"
79,RACHEL BARNES,RACHEL.BARNES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",256,"00s,00s"
81,ANDREA HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",319,00s
82,KATHRYN COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",479,"00s,00s"
83,LOUISE JENKINS,LOUISE.JENKINS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",497,"00s,00s"
84,SARA PERRY,SARA.PERRY@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",40,"00s,00s"
85,ANNE POWELL,ANNE.POWELL@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",88,"00s,00s"
86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",489,"00s,00s"
87,WANDA PATTERSON,WANDA.PATTERSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",480,"00s,00s"
88,BONNIE HUGHES,BONNIE.HUGHES@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",113,"00s,00s"
89,JULIA FLORES,JULIA.FLORES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",289,"00s,00s"
91,LOIS BUTLER,LOIS.BUTLER@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",53,"00s,00s"
92,TINA SIMMONS,TINA.SIMMONS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",183,"00s,00s"
93,PHYLLIS FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",592,"00s,00s"
94,NORMA GONZALES,NORMA.GONZALES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",82,"00s,00s"
95,PAULA BRYANT,PAULA.BRYANT@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",399,"00s,00s"
96,DIANA ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",41,"00s,00s"
98,LILLIAN GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",12,"00s,00s"
99,EMILY DIAZ,EMILY.DIAZ@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",268,00s
100,ROBIN HAYES,ROBIN.HAYES@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",238,"00s,00s"
101,PEGGY MYERS,PEGGY.MYERS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",2,00s
102,CRYSTAL FORD,CRYSTAL.FORD@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",34,"00s,00s"
103,GLADYS HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",220,"00s,00s"
104,RITA GRAHAM,RITA.GRAHAM@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",543,"00s,00s"
105,DAWN SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",173,"00s,00s"
106,CONNIE WALLACE,CONNIE.WALLACE@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",225,"00s,00s"
107,FLORENCE WOODS,FLORENCE.WOODS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",334,"00s,00s"
108,TRACY COLE,TRACY.COLE@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",213,"00s,00s"
109,EDNA WEST,EDNA.WEST@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",273,"00s,00s"
110,TIFFANY JORDAN,TIFFANY.JORDAN@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",159,"00s,00s"
111,CARMEN OWENS,CARMEN.OWENS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",102,"00s,00s"
112,ROSA REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,185,0.00,"English,Italian","Sports,Animation,Documentary,Sci-Fi,Family",292,"00s,00s"
113,CINDY FISHER,CINDY.FISHER@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",132,"00s,00s"
114,GRACE ELLIS,GRACE.ELLIS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",148,"00s,00s"
115,WENDY HARRISON,WENDY.HARRISON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",365,"00s,00s"
116,VICTORIA GIBSON,VICTORIA.GIBSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",403,"00s,00s"
117,EDITH MCDONALD,EDITH.MCDONALD@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",176,"00s,00s"
118,KIM CRUZ,KIM.CRUZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",185,"00s,00s"
119,SHERRY MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",476,"00s,00s"
120,SYLVIA ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",147,"00s,00s"
121,JOSEPHINE GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",164,"00s,00s"
122,THELMA MURRAY,THELMA.MURRAY@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",305,"00s,00s"
123,SHANNON FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",566,"00s,00s"
124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",281,"00s,00s"
125,ETHEL WEBB,ETHEL.WEBB@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",85,"00s,00s"
126,ELLEN SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",410,"00s,00s"
127,ELAINE STEVENS,ELAINE.STEVENS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",484,"00s,00s"
128,MARJORIE TUCKER,MARJORIE.TUCKER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",236,"00s,00s"
129,CARRIE PORTER,CARRIE.PORTER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",302,00s
130,CHARLOTTE HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",190,"00s,00s"
131,MONICA HICKS,MONICA.HICKS@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",345,"00s,00s"
133,PAULINE HENRY,PAULINE.HENRY@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",541,"00s,00s"
134,EMMA BOYD,EMMA.BOYD@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",421,"00s,00s"
135,JUANITA MASON,JUANITA.MASON@sakilacustomer.org,185,0.00,"English,Italian","Sports,Animation,Documentary,Sci-Fi,Family",417,"00s,00s"
136,ANITA MORALES,ANITA.MORALES@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",211,00s
137,RHONDA KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,185,0.00,English,"Sports,Animation,Documentary,Sci-Fi,Family",29,00s
138,HAZEL WARREN,HAZEL.WARREN@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",207,"00s,00s"
139,AMBER DIXON,AMBER.DIXON@sakilacustomer.org,185,0.00,English,"Action,Sports,Drama,Animation,Family",542,"00s,00s"
